,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,result
29,Simply Staking,10.0,1.5673952434049647,0.20515952836402787,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,2.8800000000000012,33.91255477176904
30,dimi 🦙,10.0,0.7205461738141311,0.18984603806846492,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,2.7900000000000014,0.2149999999999993,1.3800000000000052,33.545392211882636
31,Secure Secrets,10.0,9.112763043052119e-05,0.1800953355338557,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.5349999999999995,1.3800000000000052,30.560186463164335
32,0base.vc,0.0,0.36915803087404137,8.532227874604255,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,30.541385905478343
33,Stakecito,10.0,0.000911276304305212,0.48605571489956445,10.10000000000003,2.0,0.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.5349999999999995,1.3800000000000052,29.86696699120392
34,e-Money.com // validator.network,5.0,0.0911276304305212,0.8419303746690647,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.034999999999999254,2.8800000000000012,28.888058005099627
35,kytzu,10.0,0.455638152152606,0.06811933640567641,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,28.36375748855833
36,Smart Stake - osmosis.smartstake.io,5.0,0.5278112354535788,0.6951080691525602,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,26.827919304606183
37,Plural,5.0,9.112763043052119e-05,0.06065281030742993,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.034999999999999254,1.3800000000000052,26.515743937937906
38,🐠stake.fish,5.0,0.0005467657825831272,0.5011106849403271,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,26.141657450722956
39,Cros-nest,5.0,0.7282008947702949,0.6458348647624607,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,26.014035759532803
40,Staking Fund,5.0,0.3800751209996178,0.2758883807173789,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.11499999999999924,1.3800000000000052,25.615963501717044
41,blockscape,5.0,1.9342234074083442,0.26763904658859866,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,25.041862453996995
42,ChainLayer,0.0,4.611969376088678,0.3467703826752885,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,24.563739758764008
